Press Enter to quit: NBits: 1920 	NErrs: 0 	BER: 0.0000E+00
NBits: 291840 	NErrs: 35 	BER: 1.1993E-04
NBits: 293760 	NErrs: 36 	BER: 1.2255E-04
NBits: 294240 	NErrs: 36 	BER: 1.2235E-04
NBits: 296160 	NErrs: 37 	BER: 1.2493E-04
NBits: 301120 	NErrs: 37 	BER: 1.2287E-04
NBits: 302080 	NErrs: 37 	BER: 1.2248E-04
NBits: 302720 	NErrs: 37 	BER: 1.2223E-04
NBits: 304640 	NErrs: 37 	BER: 1.2145E-04
NBits: 305600 	NErrs: 37 	BER: 1.2107E-04
NBits: 306560 	NErrs: 37 	BER: 1.2069E-04
NBits: 308480 	NErrs: 37 	BER: 1.1994E-04
NBits: 309440 	NErrs: 37 	BER: 1.1957E-04
NBits: 309600 	NErrs: 37 	BER: 1.1951E-04
NBits: 311520 	NErrs: 37 	BER: 1.1877E-04
NBits: 315520 	NErrs: 37 	BER: 1.1727E-04
NBits: 319520 	NErrs: 37 	BER: 1.1580E-04
NBits: 323520 	NErrs: 38 	BER: 1.1746E-04
NBits: 323680 	NErrs: 38 	BER: 1.1740E-04
NBits: 325600 	NErrs: 38 	BER: 1.1671E-04
NBits: 329600 	NErrs: 40 	BER: 1.2136E-04
NBits: 330080 	NErrs: 40 	BER: 1.2118E-04
NBits: 333920 	NErrs: 41 	BER: 1.2278E-04
NBits: 335840 	NErrs: 42 	BER: 1.2506E-04
NBits: 336800 	NErrs: 42 	BER: 1.2470E-04
NBits: 337280 	NErrs: 42 	BER: 1.2453E-04
NBits: 339200 	NErrs: 42 	BER: 1.2382E-04
NBits: 340160 	NErrs: 43 	BER: 1.2641E-04
NBits: 340640 	NErrs: 43 	BER: 1.2623E-04
NBits: 342560 	NErrs: 43 	BER: 1.2553E-04
NBits: 346560 	NErrs: 44 	BER: 1.2696E-04
NBits: 350560 	NErrs: 44 	BER: 1.2551E-04
NBits: 354560 	NErrs: 45 	BER: 1.2692E-04
NBits: 356480 	NErrs: 46 	BER: 1.2904E-04
NBits: 359360 	NErrs: 48 	BER: 1.3357E-04
NBits: 361600 	NErrs: 48 	BER: 1.3274E-04
NBits: 363520 	NErrs: 48 	BER: 1.3204E-04
NBits: 368160 	NErrs: 49 	BER: 1.3309E-04
NBits: 368320 	NErrs: 49 	BER: 1.3304E-04
NBits: 369280 	NErrs: 49 	BER: 1.3269E-04
NBits: 370080 	NErrs: 49 	BER: 1.3240E-04
NBits: 372000 	NErrs: 49 	BER: 1.3172E-04
NBits: 376000 	NErrs: 50 	BER: 1.3298E-04
NBits: 380000 	NErrs: 50 	BER: 1.3158E-04
NBits: 388160 	NErrs: 56 	BER: 1.4427E-04
NBits: 389120 	NErrs: 56 	BER: 1.4391E-04
NBits: 390080 	NErrs: 56 	BER: 1.4356E-04
NBits: 392000 	NErrs: 56 	BER: 1.4286E-04
NBits: 392640 	NErrs: 56 	BER: 1.4262E-04
NBits: 393600 	NErrs: 56 	BER: 1.4228E-04
NBits: 394240 	NErrs: 57 	BER: 1.4458E-04
NBits: 396160 	NErrs: 57 	BER: 1.4388E-04
NBits: 400160 	NErrs: 58 	BER: 1.4494E-04
NBits: 401120 	NErrs: 58 	BER: 1.4460E-04
NBits: 403040 	NErrs: 58 	BER: 1.4391E-04
NBits: 411040 	NErrs: 58 	BER: 1.4111E-04
NBits: 412960 	NErrs: 58 	BER: 1.4045E-04
NBits: 416960 	NErrs: 58 	BER: 1.3910E-04
NBits: 420960 	NErrs: 58 	BER: 1.3778E-04
NBits: 421920 	NErrs: 59 	BER: 1.3984E-04
NBits: 423840 	NErrs: 60 	BER: 1.4156E-04
NBits: 424800 	NErrs: 60 	BER: 1.4124E-04
NBits: 425280 	NErrs: 60 	BER: 1.4108E-04
NBits: 427200 	NErrs: 60 	BER: 1.4045E-04
NBits: 428800 	NErrs: 60 	BER: 1.3993E-04
NBits: 429760 	NErrs: 60 	BER: 1.3961E-04
NBits: 430400 	NErrs: 60 	BER: 1.3941E-04
NBits: 432320 	NErrs: 61 	BER: 1.4110E-04
NBits: 434240 	NErrs: 61 	BER: 1.4048E-04
NBits: 439200 	NErrs: 61 	BER: 1.3889E-04
NBits: 443200 	NErrs: 61 	BER: 1.3764E-04
NBits: 444160 	NErrs: 62 	BER: 1.3959E-04
NBits: 446080 	NErrs: 62 	BER: 1.3899E-04
NBits: 450080 	NErrs: 62 	BER: 1.3775E-04
NBits: 454720 	NErrs: 62 	BER: 1.3635E-04
NBits: 455680 	NErrs: 62 	BER: 1.3606E-04
NBits: 459040 	NErrs: 62 	BER: 1.3506E-04
NBits: 461440 	NErrs: 63 	BER: 1.3653E-04
NBits: 463360 	NErrs: 66 	BER: 1.4244E-04
NBits: 467360 	NErrs: 66 	BER: 1.4122E-04
NBits: 469280 	NErrs: 66 	BER: 1.4064E-04
NBits: 471200 	NErrs: 67 	BER: 1.4219E-04
NBits: 473120 	NErrs: 67 	BER: 1.4161E-04
NBits: 475040 	NErrs: 67 	BER: 1.4104E-04
NBits: 479040 	NErrs: 67 	BER: 1.3986E-04
NBits: 483040 	NErrs: 67 	BER: 1.3870E-04
NBits: 487040 	NErrs: 67 	BER: 1.3757E-04
NBits: 487520 	NErrs: 67 	BER: 1.3743E-04
NBits: 488480 	NErrs: 67 	BER: 1.3716E-04
NBits: 490880 	NErrs: 67 	BER: 1.3649E-04
NBits: 492800 	NErrs: 67 	BER: 1.3596E-04
NBits: 496800 	NErrs: 67 	BER: 1.3486E-04
NBits: 498720 	NErrs: 69 	BER: 1.3835E-04
NBits: 502720 	NErrs: 69 	BER: 1.3725E-04
NBits: 504640 	NErrs: 69 	BER: 1.3673E-04
NBits: 508640 	NErrs: 69 	BER: 1.3566E-04
NBits: 512640 	NErrs: 69 	BER: 1.3460E-04
NBits: 516640 	NErrs: 70 	BER: 1.3549E-04
NBits: 518560 	NErrs: 70 	BER: 1.3499E-04
NBits: 519520 	NErrs: 70 	BER: 1.3474E-04
NBits: 520160 	NErrs: 70 	BER: 1.3457E-04
NBits: 520320 	NErrs: 70 	BER: 1.3453E-04
NBits: 522240 	NErrs: 70 	BER: 1.3404E-04
NBits: 526240 	NErrs: 70 	BER: 1.3302E-04
NBits: 528960 	NErrs: 70 	BER: 1.3234E-04
NBits: 532960 	NErrs: 71 	BER: 1.3322E-04
NBits: 538720 	NErrs: 72 	BER: 1.3365E-04
NBits: 542720 	NErrs: 72 	BER: 1.3267E-04
NBits: 546720 	NErrs: 73 	BER: 1.3352E-04
NBits: 550720 	NErrs: 74 	BER: 1.3437E-04
NBits: 552800 	NErrs: 74 	BER: 1.3386E-04
NBits: 552960 	NErrs: 74 	BER: 1.3383E-04
NBits: 554880 	NErrs: 74 	BER: 1.3336E-04
NBits: 558880 	NErrs: 74 	BER: 1.3241E-04
NBits: 559840 	NErrs: 74 	BER: 1.3218E-04
NBits: 561760 	NErrs: 74 	BER: 1.3173E-04
NBits: 565760 	NErrs: 75 	BER: 1.3257E-04
NBits: 566240 	NErrs: 75 	BER: 1.3245E-04
NBits: 574080 	NErrs: 76 	BER: 1.3239E-04
NBits: 578080 	NErrs: 76 	BER: 1.3147E-04
NBits: 582080 	NErrs: 76 	BER: 1.3057E-04
NBits: 584000 	NErrs: 76 	BER: 1.3014E-04
NBits: 585440 	NErrs: 76 	BER: 1.2982E-04
NBits: 585760 	NErrs: 76 	BER: 1.2975E-04
NBits: 587680 	NErrs: 76 	BER: 1.2932E-04
NBits: 592640 	NErrs: 77 	BER: 1.2993E-04
NBits: 594560 	NErrs: 79 	BER: 1.3287E-04
NBits: 596480 	NErrs: 79 	BER: 1.3244E-04
NBits: 598560 	NErrs: 79 	BER: 1.3198E-04
NBits: 600480 	NErrs: 80 	BER: 1.3323E-04
NBits: 605280 	NErrs: 81 	BER: 1.3382E-04
NBits: 606240 	NErrs: 81 	BER: 1.3361E-04
NBits: 608160 	NErrs: 82 	BER: 1.3483E-04
NBits: 612160 	NErrs: 83 	BER: 1.3559E-04
NBits: 616160 	NErrs: 84 	BER: 1.3633E-04
NBits: 618080 	NErrs: 85 	BER: 1.3752E-04
NBits: 618560 	NErrs: 85 	BER: 1.3742E-04
NBits: 620480 	NErrs: 86 	BER: 1.3860E-04
NBits: 624480 	NErrs: 86 	BER: 1.3771E-04
NBits: 625280 	NErrs: 86 	BER: 1.3754E-04
NBits: 627200 	NErrs: 86 	BER: 1.3712E-04
NBits: 631200 	NErrs: 86 	BER: 1.3625E-04
NBits: 636480 	NErrs: 86 	BER: 1.3512E-04
NBits: 638400 	NErrs: 87 	BER: 1.3628E-04
NBits: 639040 	NErrs: 87 	BER: 1.3614E-04
NBits: 640000 	NErrs: 87 	BER: 1.3594E-04
NBits: 640960 	NErrs: 87 	BER: 1.3573E-04
NBits: 641440 	NErrs: 87 	BER: 1.3563E-04
NBits: 643360 	NErrs: 87 	BER: 1.3523E-04
NBits: 647360 	NErrs: 88 	BER: 1.3594E-04
NBits: 651360 	NErrs: 90 	BER: 1.3817E-04
NBits: 653760 	NErrs: 91 	BER: 1.3919E-04
NBits: 658080 	NErrs: 91 	BER: 1.3828E-04
NBits: 662400 	NErrs: 92 	BER: 1.3889E-04
NBits: 666080 	NErrs: 93 	BER: 1.3962E-04
NBits: 670080 	NErrs: 95 	BER: 1.4177E-04
NBits: 672000 	NErrs: 96 	BER: 1.4286E-04
NBits: 676000 	NErrs: 97 	BER: 1.4349E-04
NBits: 677920 	NErrs: 98 	BER: 1.4456E-04
NBits: 678560 	NErrs: 98 	BER: 1.4442E-04
NBits: 679520 	NErrs: 98 	BER: 1.4422E-04
NBits: 681440 	NErrs: 98 	BER: 1.4381E-04
NBits: 683360 	NErrs: 98 	BER: 1.4341E-04
NBits: 684160 	NErrs: 98 	BER: 1.4324E-04
NBits: 686080 	NErrs: 98 	BER: 1.4284E-04
NBits: 690880 	NErrs: 99 	BER: 1.4330E-04
NBits: 694880 	NErrs: 100 	BER: 1.4391E-04
NBits: 696800 	NErrs: 100 	BER: 1.4351E-04
NBits: 697760 	NErrs: 100 	BER: 1.4332E-04
NBits: 698720 	NErrs: 100 	BER: 1.4312E-04
NBits: 699360 	NErrs: 100 	BER: 1.4299E-04
NBits: 701280 	NErrs: 100 	BER: 1.4260E-04
NBits: 703200 	NErrs: 100 	BER: 1.4221E-04
NBits: 704160 	NErrs: 100 	BER: 1.4201E-04
NBits: 704320 	NErrs: 100 	BER: 1.4198E-04
NBits: 706240 	NErrs: 100 	BER: 1.4159E-04
NBits: 707200 	NErrs: 100 	BER: 1.4140E-04
NBits: 707840 	NErrs: 100 	BER: 1.4127E-04
NBits: 708000 	NErrs: 100 	BER: 1.4124E-04
NBits: 709920 	NErrs: 101 	BER: 1.4227E-04
NBits: 713920 	NErrs: 101 	BER: 1.4147E-04
NBits: 715840 	NErrs: 101 	BER: 1.4109E-04
NBits: 716800 	NErrs: 103 	BER: 1.4369E-04
NBits: 718720 	NErrs: 103 	BER: 1.4331E-04
NBits: 723680 	NErrs: 104 	BER: 1.4371E-04
NBits: 728480 	NErrs: 104 	BER: 1.4276E-04
NBits: 728800 	NErrs: 105 	BER: 1.4407E-04
NBits: 733920 	NErrs: 106 	BER: 1.4443E-04
NBits: 735840 	NErrs: 106 	BER: 1.4405E-04
NBits: 742240 	NErrs: 106 	BER: 1.4281E-04
NBits: 746240 	NErrs: 108 	BER: 1.4473E-04
NBits: 748160 	NErrs: 108 	BER: 1.4435E-04
NBits: 749600 	NErrs: 108 	BER: 1.4408E-04
NBits: 751520 	NErrs: 108 	BER: 1.4371E-04
NBits: 755520 	NErrs: 110 	BER: 1.4560E-04
NBits: 759520 	NErrs: 110 	BER: 1.4483E-04
NBits: 761440 	NErrs: 110 	BER: 1.4446E-04
NBits: 765120 	NErrs: 112 	BER: 1.4638E-04
NBits: 769120 	NErrs: 112 	BER: 1.4562E-04
NBits: 770080 	NErrs: 112 	BER: 1.4544E-04
NBits: 770880 	NErrs: 112 	BER: 1.4529E-04
NBits: 772800 	NErrs: 113 	BER: 1.4622E-04
NBits: 776800 	NErrs: 113 	BER: 1.4547E-04
NBits: 780800 	NErrs: 116 	BER: 1.4857E-04
NBits: 781760 	NErrs: 116 	BER: 1.4838E-04
NBits: 782400 	NErrs: 116 	BER: 1.4826E-04
NBits: 784320 	NErrs: 117 	BER: 1.4917E-04
NBits: 786240 	NErrs: 118 	BER: 1.5008E-04
NBits: 788160 	NErrs: 119 	BER: 1.5098E-04
NBits: 788960 	NErrs: 119 	BER: 1.5083E-04
NBits: 790880 	NErrs: 119 	BER: 1.5047E-04
NBits: 792800 	NErrs: 119 	BER: 1.5010E-04
NBits: 794720 	NErrs: 119 	BER: 1.4974E-04
NBits: 798720 	NErrs: 119 	BER: 1.4899E-04
NBits: 802720 	NErrs: 120 	BER: 1.4949E-04
NBits: 806720 	NErrs: 121 	BER: 1.4999E-04
NBits: 810720 	NErrs: 121 	BER: 1.4925E-04
NBits: 814720 	NErrs: 121 	BER: 1.4852E-04
NBits: 815200 	NErrs: 121 	BER: 1.4843E-04
NBits: 821920 	NErrs: 122 	BER: 1.4843E-04
NBits: 823840 	NErrs: 122 	BER: 1.4809E-04
NBits: 828800 	NErrs: 124 	BER: 1.4961E-04
NBits: 830720 	NErrs: 124 	BER: 1.4927E-04
NBits: 831680 	NErrs: 124 	BER: 1.4910E-04
NBits: 832160 	NErrs: 124 	BER: 1.4901E-04
NBits: 834080 	NErrs: 124 	BER: 1.4867E-04
NBits: 838080 	NErrs: 125 	BER: 1.4915E-04
NBits: 842080 	NErrs: 125 	BER: 1.4844E-04
NBits: 846080 	NErrs: 125 	BER: 1.4774E-04
NBits: 848000 	NErrs: 126 	BER: 1.4858E-04
NBits: 851360 	NErrs: 126 	BER: 1.4800E-04
NBits: 853280 	NErrs: 127 	BER: 1.4884E-04
NBits: 855680 	NErrs: 127 	BER: 1.4842E-04
NBits: 856480 	NErrs: 127 	BER: 1.4828E-04
NBits: 858400 	NErrs: 127 	BER: 1.4795E-04
NBits: 862400 	NErrs: 127 	BER: 1.4726E-04
NBits: 866400 	NErrs: 129 	BER: 1.4889E-04
NBits: 874560 	NErrs: 130 	BER: 1.4865E-04
NBits: 878560 	NErrs: 131 	BER: 1.4911E-04
