Press Enter to quit: NBits: 480 	NErrs: 0 	BER: 0.0000E+00
NBits: 118400 	NErrs: 19 	BER: 1.6047E-04
NBits: 119360 	NErrs: 19 	BER: 1.5918E-04
NBits: 120320 	NErrs: 19 	BER: 1.5791E-04
NBits: 121280 	NErrs: 19 	BER: 1.5666E-04
NBits: 121920 	NErrs: 19 	BER: 1.5584E-04
NBits: 122880 	NErrs: 19 	BER: 1.5462E-04
NBits: 123360 	NErrs: 20 	BER: 1.6213E-04
NBits: 125280 	NErrs: 21 	BER: 1.6762E-04
NBits: 126240 	NErrs: 21 	BER: 1.6635E-04
NBits: 126720 	NErrs: 21 	BER: 1.6572E-04
NBits: 127680 	NErrs: 21 	BER: 1.6447E-04
NBits: 128320 	NErrs: 21 	BER: 1.6365E-04
NBits: 130080 	NErrs: 21 	BER: 1.6144E-04
NBits: 131680 	NErrs: 22 	BER: 1.6707E-04
NBits: 133120 	NErrs: 23 	BER: 1.7278E-04
NBits: 133440 	NErrs: 23 	BER: 1.7236E-04
NBits: 134400 	NErrs: 23 	BER: 1.7113E-04
NBits: 135200 	NErrs: 23 	BER: 1.7012E-04
NBits: 140320 	NErrs: 24 	BER: 1.7104E-04
NBits: 141920 	NErrs: 24 	BER: 1.6911E-04
NBits: 144640 	NErrs: 25 	BER: 1.7284E-04
NBits: 145440 	NErrs: 25 	BER: 1.7189E-04
NBits: 146400 	NErrs: 26 	BER: 1.7760E-04
NBits: 148800 	NErrs: 26 	BER: 1.7473E-04
NBits: 149760 	NErrs: 26 	BER: 1.7361E-04
NBits: 150400 	NErrs: 26 	BER: 1.7287E-04
NBits: 151840 	NErrs: 26 	BER: 1.7123E-04
NBits: 153920 	NErrs: 26 	BER: 1.6892E-04
NBits: 154880 	NErrs: 26 	BER: 1.6787E-04
NBits: 155520 	NErrs: 27 	BER: 1.7361E-04
NBits: 156480 	NErrs: 27 	BER: 1.7255E-04
NBits: 157120 	NErrs: 27 	BER: 1.7184E-04
NBits: 157280 	NErrs: 27 	BER: 1.7167E-04
NBits: 158240 	NErrs: 28 	BER: 1.7695E-04
NBits: 158720 	NErrs: 28 	BER: 1.7641E-04
NBits: 159040 	NErrs: 28 	BER: 1.7606E-04
NBits: 159520 	NErrs: 28 	BER: 1.7553E-04
NBits: 160480 	NErrs: 28 	BER: 1.7448E-04
NBits: 160960 	NErrs: 28 	BER: 1.7396E-04
NBits: 161120 	NErrs: 28 	BER: 1.7378E-04
NBits: 162880 	NErrs: 28 	BER: 1.7191E-04
NBits: 163840 	NErrs: 28 	BER: 1.7090E-04
NBits: 164480 	NErrs: 28 	BER: 1.7023E-04
NBits: 165440 	NErrs: 28 	BER: 1.6925E-04
