premable
<type 'tuple'>
10100110101010111011010000100111
11100100001011011101010101100101
('preamble bytes', [166, 171, 180, 39])
('preamble tuple', (1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1))
Press Enter to quit: NBits: 4083 	NErrs: 2041 	BER: 4.9988E-01
NBits: 6131 	NErrs: 3065 	BER: 4.9992E-01
NBits: 8204 	NErrs: 4102 	BER: 5.0000E-01
NBits: 11277 	NErrs: 5639 	BER: 5.0004E-01
NBits: 15360 	NErrs: 7680 	BER: 5.0000E-01
NBits: 18432 	NErrs: 9216 	BER: 5.0000E-01
NBits: 20480 	NErrs: 10240 	BER: 5.0000E-01
NBits: 23552 	NErrs: 11776 	BER: 5.0000E-01
NBits: 25587 	NErrs: 12793 	BER: 4.9998E-01
NBits: 28659 	NErrs: 14329 	BER: 4.9998E-01
NBits: 29670 	NErrs: 14835 	BER: 5.0000E-01
NBits: 31718 	NErrs: 15859 	BER: 5.0000E-01
NBits: 32742 	NErrs: 16371 	BER: 5.0000E-01
NBits: 41956 	NErrs: 20978 	BER: 5.0000E-01
NBits: 45540 	NErrs: 22770 	BER: 5.0000E-01
NBits: 48100 	NErrs: 24050 	BER: 5.0000E-01
NBits: 50148 	NErrs: 25074 	BER: 5.0000E-01
NBits: 56293 	NErrs: 28147 	BER: 5.0001E-01
NBits: 61411 	NErrs: 30705 	BER: 4.9999E-01
NBits: 64475 	NErrs: 32237 	BER: 4.9999E-01
NBits: 66525 	NErrs: 33263 	BER: 5.0001E-01
NBits: 70618 	NErrs: 35309 	BER: 5.0000E-01
NBits: 72666 	NErrs: 36333 	BER: 5.0000E-01
NBits: 73690 	NErrs: 36845 	BER: 5.0000E-01
NBits: 75738 	NErrs: 37869 	BER: 5.0000E-01
NBits: 80845 	NErrs: 40423 	BER: 5.0001E-01
NBits: 84909 	NErrs: 42455 	BER: 5.0001E-01
NBits: 84928 	NErrs: 42464 	BER: 5.0000E-01
NBits: 86976 	NErrs: 43488 	BER: 5.0000E-01
NBits: 89008 	NErrs: 44504 	BER: 5.0000E-01
NBits: 89011 	NErrs: 44505 	BER: 4.9999E-01
NBits: 91059 	NErrs: 45529 	BER: 4.9999E-01
NBits: 93075 	NErrs: 46537 	BER: 4.9999E-01
NBits: 93094 	NErrs: 46547 	BER: 5.0000E-01
NBits: 95142 	NErrs: 47571 	BER: 5.0000E-01
NBits: 97126 	NErrs: 48563 	BER: 5.0000E-01
NBits: 97176 	NErrs: 48588 	BER: 5.0000E-01
NBits: 99224 	NErrs: 49612 	BER: 5.0000E-01
NBits: 101144 	NErrs: 50572 	BER: 5.0000E-01
NBits: 101259 	NErrs: 50629 	BER: 5.0000E-01
