Press Enter to quit: NBits: 1920 	NErrs: 1 	BER: 5.2083E-04
NBits: 3360 	NErrs: 1 	BER: 2.9762E-04
NBits: 5280 	NErrs: 2 	BER: 3.7879E-04
NBits: 9280 	NErrs: 2 	BER: 2.1552E-04
NBits: 10240 	NErrs: 2 	BER: 1.9531E-04
NBits: 12160 	NErrs: 2 	BER: 1.6447E-04
NBits: 16160 	NErrs: 2 	BER: 1.2376E-04
NBits: 16960 	NErrs: 2 	BER: 1.1792E-04
NBits: 18880 	NErrs: 2 	BER: 1.0593E-04
NBits: 22880 	NErrs: 2 	BER: 8.7413E-05
NBits: 26880 	NErrs: 2 	BER: 7.4405E-05
NBits: 28800 	NErrs: 3 	BER: 1.0417E-04
NBits: 29440 	NErrs: 3 	BER: 1.0190E-04
NBits: 31360 	NErrs: 3 	BER: 9.5663E-05
NBits: 36000 	NErrs: 4 	BER: 1.1111E-04
NBits: 36160 	NErrs: 4 	BER: 1.1062E-04
NBits: 38080 	NErrs: 4 	BER: 1.0504E-04
NBits: 42080 	NErrs: 5 	BER: 1.1882E-04
NBits: 46080 	NErrs: 5 	BER: 1.0851E-04
NBits: 50080 	NErrs: 5 	BER: 9.9840E-05
NBits: 54080 	NErrs: 7 	BER: 1.2944E-04
NBits: 58080 	NErrs: 8 	BER: 1.3774E-04
NBits: 62080 	NErrs: 8 	BER: 1.2887E-04
NBits: 64000 	NErrs: 8 	BER: 1.2500E-04
NBits: 65600 	NErrs: 8 	BER: 1.2195E-04
NBits: 68960 	NErrs: 8 	BER: 1.1601E-04
NBits: 70880 	NErrs: 9 	BER: 1.2698E-04
NBits: 74880 	NErrs: 10 	BER: 1.3355E-04
NBits: 76800 	NErrs: 11 	BER: 1.4323E-04
NBits: 80800 	NErrs: 11 	BER: 1.3614E-04
NBits: 84800 	NErrs: 11 	BER: 1.2972E-04
NBits: 88800 	NErrs: 13 	BER: 1.4640E-04
NBits: 92800 	NErrs: 13 	BER: 1.4009E-04
NBits: 94880 	NErrs: 13 	BER: 1.3702E-04
NBits: 98880 	NErrs: 13 	BER: 1.3147E-04
NBits: 100800 	NErrs: 14 	BER: 1.3889E-04
NBits: 102720 	NErrs: 14 	BER: 1.3629E-04
NBits: 106720 	NErrs: 15 	BER: 1.4055E-04
NBits: 110560 	NErrs: 15 	BER: 1.3567E-04
NBits: 114560 	NErrs: 16 	BER: 1.3966E-04
NBits: 118560 	NErrs: 16 	BER: 1.3495E-04
NBits: 122560 	NErrs: 17 	BER: 1.3871E-04
NBits: 126560 	NErrs: 17 	BER: 1.3432E-04
NBits: 127680 	NErrs: 17 	BER: 1.3315E-04
NBits: 131040 	NErrs: 17 	BER: 1.2973E-04
NBits: 135840 	NErrs: 17 	BER: 1.2515E-04
NBits: 137760 	NErrs: 17 	BER: 1.2340E-04
NBits: 138720 	NErrs: 17 	BER: 1.2255E-04
NBits: 141280 	NErrs: 17 	BER: 1.2033E-04
NBits: 142240 	NErrs: 18 	BER: 1.2655E-04
NBits: 143040 	NErrs: 18 	BER: 1.2584E-04
NBits: 144960 	NErrs: 20 	BER: 1.3797E-04
NBits: 148960 	NErrs: 21 	BER: 1.4098E-04
NBits: 150880 	NErrs: 21 	BER: 1.3918E-04
NBits: 154880 	NErrs: 21 	BER: 1.3559E-04
NBits: 158880 	NErrs: 21 	BER: 1.3218E-04
NBits: 160480 	NErrs: 21 	BER: 1.3086E-04
NBits: 163360 	NErrs: 23 	BER: 1.4079E-04
NBits: 165280 	NErrs: 23 	BER: 1.3916E-04
NBits: 167200 	NErrs: 25 	BER: 1.4952E-04
NBits: 171200 	NErrs: 25 	BER: 1.4603E-04
NBits: 173120 	NErrs: 25 	BER: 1.4441E-04
NBits: 177120 	NErrs: 26 	BER: 1.4679E-04
NBits: 179040 	NErrs: 26 	BER: 1.4522E-04
NBits: 180960 	NErrs: 26 	BER: 1.4368E-04
NBits: 182880 	NErrs: 27 	BER: 1.4764E-04
NBits: 186880 	NErrs: 28 	BER: 1.4983E-04
NBits: 190880 	NErrs: 30 	BER: 1.5717E-04
NBits: 192800 	NErrs: 30 	BER: 1.5560E-04
NBits: 193280 	NErrs: 30 	BER: 1.5522E-04
NBits: 195200 	NErrs: 31 	BER: 1.5881E-04
NBits: 200000 	NErrs: 32 	BER: 1.6000E-04
NBits: 201920 	NErrs: 32 	BER: 1.5848E-04
NBits: 208800 	NErrs: 33 	BER: 1.5805E-04
NBits: 213600 	NErrs: 35 	BER: 1.6386E-04
NBits: 215520 	NErrs: 35 	BER: 1.6240E-04
NBits: 219520 	NErrs: 35 	BER: 1.5944E-04
NBits: 223520 	NErrs: 36 	BER: 1.6106E-04
NBits: 225920 	NErrs: 36 	BER: 1.5935E-04
NBits: 227840 	NErrs: 37 	BER: 1.6239E-04
NBits: 231840 	NErrs: 37 	BER: 1.5959E-04
NBits: 232800 	NErrs: 37 	BER: 1.5893E-04
NBits: 234720 	NErrs: 38 	BER: 1.6190E-04
NBits: 239520 	NErrs: 38 	BER: 1.5865E-04
NBits: 241440 	NErrs: 38 	BER: 1.5739E-04
NBits: 245440 	NErrs: 39 	BER: 1.5890E-04
NBits: 246400 	NErrs: 39 	BER: 1.5828E-04
NBits: 248320 	NErrs: 39 	BER: 1.5706E-04
NBits: 252320 	NErrs: 39 	BER: 1.5457E-04
NBits: 252800 	NErrs: 39 	BER: 1.5427E-04
NBits: 254720 	NErrs: 39 	BER: 1.5311E-04
NBits: 258720 	NErrs: 39 	BER: 1.5074E-04
NBits: 265600 	NErrs: 39 	BER: 1.4684E-04
NBits: 267520 	NErrs: 39 	BER: 1.4578E-04
NBits: 271520 	NErrs: 39 	BER: 1.4364E-04
NBits: 272320 	NErrs: 39 	BER: 1.4321E-04
NBits: 276800 	NErrs: 40 	BER: 1.4451E-04
NBits: 279200 	NErrs: 40 	BER: 1.4327E-04
NBits: 283520 	NErrs: 41 	BER: 1.4461E-04
