Press Enter to quit: NBits: 10400 	NErrs: 1 	BER: 9.6154E-05
NBits: 12320 	NErrs: 1 	BER: 8.1169E-05
NBits: 19200 	NErrs: 5 	BER: 2.6042E-04
NBits: 20160 	NErrs: 5 	BER: 2.4802E-04
NBits: 24000 	NErrs: 5 	BER: 2.0833E-04
NBits: 24160 	NErrs: 6 	BER: 2.4834E-04
NBits: 26080 	NErrs: 6 	BER: 2.3006E-04
NBits: 27040 	NErrs: 6 	BER: 2.2189E-04
NBits: 27520 	NErrs: 6 	BER: 2.1802E-04
NBits: 28480 	NErrs: 6 	BER: 2.1067E-04
NBits: 30400 	NErrs: 6 	BER: 1.9737E-04
NBits: 32320 	NErrs: 7 	BER: 2.1658E-04
NBits: 34240 	NErrs: 7 	BER: 2.0444E-04
NBits: 35200 	NErrs: 7 	BER: 1.9886E-04
NBits: 37760 	NErrs: 7 	BER: 1.8538E-04
NBits: 39680 	NErrs: 7 	BER: 1.7641E-04
NBits: 43680 	NErrs: 9 	BER: 2.0604E-04
NBits: 47680 	NErrs: 9 	BER: 1.8876E-04
NBits: 48960 	NErrs: 9 	BER: 1.8382E-04
NBits: 50880 	NErrs: 9 	BER: 1.7689E-04
NBits: 51360 	NErrs: 9 	BER: 1.7523E-04
NBits: 53280 	NErrs: 9 	BER: 1.6892E-04
NBits: 54240 	NErrs: 9 	BER: 1.6593E-04
NBits: 54720 	NErrs: 9 	BER: 1.6447E-04
NBits: 55680 	NErrs: 9 	BER: 1.6164E-04
NBits: 57120 	NErrs: 9 	BER: 1.5756E-04
NBits: 58080 	NErrs: 9 	BER: 1.5496E-04
NBits: 60000 	NErrs: 11 	BER: 1.8333E-04
NBits: 61920 	NErrs: 11 	BER: 1.7765E-04
NBits: 63840 	NErrs: 12 	BER: 1.8797E-04
NBits: 64800 	NErrs: 12 	BER: 1.8519E-04
NBits: 64960 	NErrs: 12 	BER: 1.8473E-04
NBits: 68960 	NErrs: 12 	BER: 1.7401E-04
NBits: 70880 	NErrs: 12 	BER: 1.6930E-04
NBits: 71840 	NErrs: 12 	BER: 1.6704E-04
NBits: 73760 	NErrs: 12 	BER: 1.6269E-04
NBits: 77760 	NErrs: 12 	BER: 1.5432E-04
NBits: 78560 	NErrs: 12 	BER: 1.5275E-04
NBits: 82560 	NErrs: 12 	BER: 1.4535E-04
NBits: 84480 	NErrs: 13 	BER: 1.5388E-04
NBits: 85440 	NErrs: 13 	BER: 1.5215E-04
NBits: 87360 	NErrs: 13 	BER: 1.4881E-04
