SNR,BLER
4,0.8044871794871795
4,0.8044871794871795
4.5,0.5673443456162643
4.5,0.5656701377225395
5.0,0.2895128696022123
5.0,0.2880473372781065
5.5,0.1094139650872818
5.5,0.10933113129644921
6.0,0.030339622641509432
6.0,0.0304194192656322
