Press Enter to quit: NBits: 4000 	NErrs: 0 	BER: 0.0000E+00
NBits: 247520 	NErrs: 28 	BER: 1.1312E-04
NBits: 250400 	NErrs: 29 	BER: 1.1581E-04
NBits: 252320 	NErrs: 29 	BER: 1.1493E-04
NBits: 254400 	NErrs: 29 	BER: 1.1399E-04
NBits: 256320 	NErrs: 29 	BER: 1.1314E-04
NBits: 260320 	NErrs: 30 	BER: 1.1524E-04
NBits: 264320 	NErrs: 31 	BER: 1.1728E-04
NBits: 266240 	NErrs: 31 	BER: 1.1644E-04
NBits: 270240 	NErrs: 31 	BER: 1.1471E-04
NBits: 274240 	NErrs: 32 	BER: 1.1669E-04
NBits: 278240 	NErrs: 33 	BER: 1.1860E-04
NBits: 278560 	NErrs: 33 	BER: 1.1847E-04
NBits: 279520 	NErrs: 33 	BER: 1.1806E-04
NBits: 280000 	NErrs: 33 	BER: 1.1786E-04
NBits: 285920 	NErrs: 35 	BER: 1.2241E-04
NBits: 290560 	NErrs: 35 	BER: 1.2046E-04
NBits: 292480 	NErrs: 36 	BER: 1.2309E-04
NBits: 293440 	NErrs: 36 	BER: 1.2268E-04
NBits: 295360 	NErrs: 36 	BER: 1.2189E-04
NBits: 297280 	NErrs: 36 	BER: 1.2110E-04
NBits: 299200 	NErrs: 37 	BER: 1.2366E-04
NBits: 301120 	NErrs: 37 	BER: 1.2287E-04
NBits: 303040 	NErrs: 38 	BER: 1.2540E-04
NBits: 304960 	NErrs: 38 	BER: 1.2461E-04
NBits: 308960 	NErrs: 39 	BER: 1.2623E-04
NBits: 311360 	NErrs: 39 	BER: 1.2526E-04
NBits: 313280 	NErrs: 39 	BER: 1.2449E-04
NBits: 315200 	NErrs: 40 	BER: 1.2690E-04
NBits: 317120 	NErrs: 40 	BER: 1.2614E-04
NBits: 319040 	NErrs: 41 	BER: 1.2851E-04
NBits: 319840 	NErrs: 41 	BER: 1.2819E-04
NBits: 321760 	NErrs: 43 	BER: 1.3364E-04
NBits: 322720 	NErrs: 43 	BER: 1.3324E-04
NBits: 323200 	NErrs: 43 	BER: 1.3304E-04
NBits: 324160 	NErrs: 43 	BER: 1.3265E-04
NBits: 326720 	NErrs: 43 	BER: 1.3161E-04
NBits: 329600 	NErrs: 43 	BER: 1.3046E-04
NBits: 333600 	NErrs: 43 	BER: 1.2890E-04
NBits: 337600 	NErrs: 43 	BER: 1.2737E-04
NBits: 341600 	NErrs: 43 	BER: 1.2588E-04
NBits: 343520 	NErrs: 43 	BER: 1.2517E-04
NBits: 344160 	NErrs: 43 	BER: 1.2494E-04
NBits: 345120 	NErrs: 43 	BER: 1.2459E-04
NBits: 345760 	NErrs: 44 	BER: 1.2726E-04
NBits: 347680 	NErrs: 44 	BER: 1.2655E-04
NBits: 348640 	NErrs: 44 	BER: 1.2620E-04
NBits: 350560 	NErrs: 45 	BER: 1.2837E-04
NBits: 352480 	NErrs: 45 	BER: 1.2767E-04
NBits: 352640 	NErrs: 45 	BER: 1.2761E-04
NBits: 354560 	NErrs: 46 	BER: 1.2974E-04
NBits: 355520 	NErrs: 46 	BER: 1.2939E-04
NBits: 356000 	NErrs: 46 	BER: 1.2921E-04
NBits: 356160 	NErrs: 46 	BER: 1.2916E-04
NBits: 358080 	NErrs: 47 	BER: 1.3126E-04
NBits: 359040 	NErrs: 47 	BER: 1.3090E-04
NBits: 359520 	NErrs: 47 	BER: 1.3073E-04
NBits: 361440 	NErrs: 47 	BER: 1.3004E-04
NBits: 362400 	NErrs: 47 	BER: 1.2969E-04
NBits: 363040 	NErrs: 47 	BER: 1.2946E-04
NBits: 364960 	NErrs: 48 	BER: 1.3152E-04
NBits: 366560 	NErrs: 48 	BER: 1.3095E-04
NBits: 368480 	NErrs: 48 	BER: 1.3026E-04
NBits: 372480 	NErrs: 48 	BER: 1.2887E-04
NBits: 376480 	NErrs: 48 	BER: 1.2750E-04
NBits: 376800 	NErrs: 48 	BER: 1.2739E-04
NBits: 378720 	NErrs: 48 	BER: 1.2674E-04
NBits: 382720 	NErrs: 48 	BER: 1.2542E-04
NBits: 383680 	NErrs: 48 	BER: 1.2510E-04
NBits: 385600 	NErrs: 49 	BER: 1.2707E-04
NBits: 386560 	NErrs: 49 	BER: 1.2676E-04
NBits: 387520 	NErrs: 49 	BER: 1.2645E-04
NBits: 388800 	NErrs: 49 	BER: 1.2603E-04
NBits: 390720 	NErrs: 50 	BER: 1.2797E-04
NBits: 394720 	NErrs: 50 	BER: 1.2667E-04
NBits: 398720 	NErrs: 51 	BER: 1.2791E-04
NBits: 402720 	NErrs: 51 	BER: 1.2664E-04
NBits: 406720 	NErrs: 52 	BER: 1.2785E-04
NBits: 408640 	NErrs: 53 	BER: 1.2970E-04
NBits: 409600 	NErrs: 53 	BER: 1.2939E-04
NBits: 411520 	NErrs: 53 	BER: 1.2879E-04
NBits: 413440 	NErrs: 53 	BER: 1.2819E-04
NBits: 415360 	NErrs: 54 	BER: 1.3001E-04
NBits: 419840 	NErrs: 54 	BER: 1.2862E-04
NBits: 423360 	NErrs: 54 	BER: 1.2755E-04
NBits: 425280 	NErrs: 54 	BER: 1.2698E-04
NBits: 427200 	NErrs: 55 	BER: 1.2875E-04
NBits: 430080 	NErrs: 55 	BER: 1.2788E-04
NBits: 432000 	NErrs: 57 	BER: 1.3194E-04
NBits: 433920 	NErrs: 57 	BER: 1.3136E-04
NBits: 435840 	NErrs: 57 	BER: 1.3078E-04
NBits: 437120 	NErrs: 57 	BER: 1.3040E-04
NBits: 439040 	NErrs: 57 	BER: 1.2983E-04
NBits: 440960 	NErrs: 57 	BER: 1.2926E-04
NBits: 441920 	NErrs: 57 	BER: 1.2898E-04
NBits: 442400 	NErrs: 57 	BER: 1.2884E-04
NBits: 444960 	NErrs: 58 	BER: 1.3035E-04
NBits: 446880 	NErrs: 58 	BER: 1.2979E-04
NBits: 447840 	NErrs: 58 	BER: 1.2951E-04
NBits: 448480 	NErrs: 58 	BER: 1.2933E-04
NBits: 450400 	NErrs: 58 	BER: 1.2877E-04
NBits: 451360 	NErrs: 59 	BER: 1.3072E-04
NBits: 451840 	NErrs: 59 	BER: 1.3058E-04
NBits: 453760 	NErrs: 59 	BER: 1.3002E-04
NBits: 457760 	NErrs: 59 	BER: 1.2889E-04
NBits: 461760 	NErrs: 62 	BER: 1.3427E-04
NBits: 462080 	NErrs: 62 	BER: 1.3418E-04
NBits: 468000 	NErrs: 62 	BER: 1.3248E-04
NBits: 468960 	NErrs: 62 	BER: 1.3221E-04
NBits: 470880 	NErrs: 62 	BER: 1.3167E-04
NBits: 474880 	NErrs: 63 	BER: 1.3267E-04
NBits: 475200 	NErrs: 63 	BER: 1.3258E-04
NBits: 476160 	NErrs: 63 	BER: 1.3231E-04
NBits: 476960 	NErrs: 63 	BER: 1.3209E-04
NBits: 478880 	NErrs: 63 	BER: 1.3156E-04
NBits: 479840 	NErrs: 63 	BER: 1.3129E-04
NBits: 481760 	NErrs: 64 	BER: 1.3285E-04
NBits: 483680 	NErrs: 65 	BER: 1.3439E-04
NBits: 485600 	NErrs: 65 	BER: 1.3386E-04
NBits: 487040 	NErrs: 66 	BER: 1.3551E-04
NBits: 487200 	NErrs: 66 	BER: 1.3547E-04
NBits: 489120 	NErrs: 66 	BER: 1.3494E-04
NBits: 493120 	NErrs: 67 	BER: 1.3587E-04
NBits: 494080 	NErrs: 67 	BER: 1.3561E-04
NBits: 496000 	NErrs: 67 	BER: 1.3508E-04
NBits: 500000 	NErrs: 69 	BER: 1.3800E-04
NBits: 501920 	NErrs: 69 	BER: 1.3747E-04
NBits: 502880 	NErrs: 70 	BER: 1.3920E-04
NBits: 506880 	NErrs: 70 	BER: 1.3810E-04
NBits: 508000 	NErrs: 70 	BER: 1.3780E-04
NBits: 509920 	NErrs: 70 	BER: 1.3728E-04
NBits: 511360 	NErrs: 70 	BER: 1.3689E-04
NBits: 513280 	NErrs: 70 	BER: 1.3638E-04
NBits: 515200 	NErrs: 71 	BER: 1.3781E-04
NBits: 516480 	NErrs: 71 	BER: 1.3747E-04
NBits: 517440 	NErrs: 71 	BER: 1.3721E-04
NBits: 518240 	NErrs: 71 	BER: 1.3700E-04
NBits: 520160 	NErrs: 71 	BER: 1.3650E-04
NBits: 524160 	NErrs: 72 	BER: 1.3736E-04
NBits: 528160 	NErrs: 72 	BER: 1.3632E-04
NBits: 532160 	NErrs: 74 	BER: 1.3906E-04
NBits: 540640 	NErrs: 75 	BER: 1.3872E-04
NBits: 542560 	NErrs: 75 	BER: 1.3823E-04
NBits: 544160 	NErrs: 75 	BER: 1.3783E-04
NBits: 548160 	NErrs: 77 	BER: 1.4047E-04
NBits: 550080 	NErrs: 77 	BER: 1.3998E-04
NBits: 551040 	NErrs: 77 	BER: 1.3974E-04
NBits: 555040 	NErrs: 77 	BER: 1.3873E-04
NBits: 556960 	NErrs: 77 	BER: 1.3825E-04
NBits: 560960 	NErrs: 79 	BER: 1.4083E-04
NBits: 564960 	NErrs: 79 	BER: 1.3983E-04
NBits: 573440 	NErrs: 80 	BER: 1.3951E-04
NBits: 575200 	NErrs: 80 	BER: 1.3908E-04
NBits: 577120 	NErrs: 80 	BER: 1.3862E-04
NBits: 578080 	NErrs: 80 	BER: 1.3839E-04
NBits: 578560 	NErrs: 80 	BER: 1.3827E-04
NBits: 582560 	NErrs: 80 	BER: 1.3732E-04
